,A,Ea,P [Pa],T [K],b,kb,kf
79,347850500.0,83680000.0,101325.0,479.0,0.0,[0.],[0.26080769]
80,347850500.0,83680000.0,101324.99999999999,480.0,0.0,[0.],[0.2724777]
81,347850500.0,83680000.0,101325.00000000001,481.0,0.0,[0.],[0.28461808]
82,347850500.0,83680000.0,101325.0,482.0,0.0,[0.],[0.29724561]
83,347850500.0,83680000.0,101325.0,483.0,0.0,[0.],[0.31037758]
84,347850500.0,83680000.0,101325.00000000001,484.0,0.0,[0.],[0.32403182]
85,347850500.0,83680000.0,101325.0,485.0,0.0,[0.],[0.33822669]
86,347850500.0,83680000.0,101325.0,486.0,0.0,[0.],[0.35298112]
87,347850500.0,83680000.0,101325.0,487.0,0.0,[0.],[0.36831458]
88,347850500.0,83680000.0,101325.00000000003,488.0,0.0,[0.],[0.38424715]
89,347850500.0,83680000.0,101325.0,489.0,0.0,[0.],[0.40079951]
90,347850500.0,83680000.0,101325.0,490.0,0.0,[0.],[0.41799294]
91,347850500.0,83680000.0,101325.0,491.0,0.0,[0.],[0.43584936]
92,347850500.0,83680000.0,101324.99999999999,492.0,0.0,[0.],[0.45439132]
93,347850500.0,83680000.0,101324.99999999999,493.0,0.0,[0.],[0.47364203]
94,347850500.0,83680000.0,101325.00000000001,494.0,0.0,[0.],[0.49362538]
95,347850500.0,83680000.0,101325.00000000001,495.0,0.0,[0.],[0.51436596]
96,347850500.0,83680000.0,101325.00000000001,496.0,0.0,[0.],[0.53588905]
97,347850500.0,83680000.0,101325.0,497.0,0.0,[0.],[0.55822066]
98,347850500.0,83680000.0,101324.99999999999,498.0,0.0,[0.],[0.58138753]
99,347850500.0,83680000.0,101325.0,499.0,0.0,[0.],[0.60541719]
100,347850500.0,83680000.0,101325.0,500.0,0.0,[0.],[0.6303379]
101,347850500.0,83680000.0,101325.00000000001,501.0,0.0,[0.],[0.65617875]
102,347850500.0,83680000.0,101325.0,502.0,0.0,[0.],[0.68296962]
103,347850500.0,83680000.0,101325.00000000001,503.0,0.0,[0.],[0.71074123]
104,347850500.0,83680000.0,101325.0,504.0,0.0,[0.],[0.73952514]
105,347850500.0,83680000.0,101325.0,505.0,0.0,[0.],[0.76935378]
106,347850500.0,83680000.0,101324.99999999999,506.0,0.0,[0.],[0.80026046]
107,347850500.0,83680000.0,101324.99999999999,507.0,0.0,[0.],[0.83227941]
108,347850500.0,83680000.0,101324.99999999997,508.0,0.0,[0.],[0.86544579]
109,347850500.0,83680000.0,101325.0,509.0,0.0,[0.],[0.89979567]
110,347850500.0,83680000.0,101325.0,510.0,0.0,[0.],[0.93536614]
111,347850500.0,83680000.0,101325.0,511.0,0.0,[0.],[0.97219523]
112,347850500.0,83680000.0,101325.00000000001,512.0,0.0,[0.],[1.010322]
113,347850500.0,83680000.0,101325.0,513.0,0.0,[0.],[1.04978655]
114,347850500.0,83680000.0,101324.99999999999,514.0,0.0,[0.],[1.09063002]
115,347850500.0,83680000.0,101324.99999999999,515.0,0.0,[0.],[1.13289463]
116,347850500.0,83680000.0,101325.0,516.0,0.0,[0.],[1.17662368]
117,347850500.0,83680000.0,101325.00000000001,517.0,0.0,[0.],[1.22186162]
118,347850500.0,83680000.0,101325.0,518.0,0.0,[0.],[1.26865403]
119,347850500.0,83680000.0,101325.00000000001,519.0,0.0,[0.],[1.31704765]
120,347850500.0,83680000.0,101325.0,520.0,0.0,[0.],[1.36709042]
121,347850500.0,83680000.0,101324.99999999999,521.0,0.0,[0.],[1.41883149]
122,347850500.0,83680000.0,101325.0,522.0,0.0,[0.],[1.47232127]
123,347850500.0,83680000.0,101324.99999999999,523.0,0.0,[0.],[1.5276114]
124,347850500.0,83680000.0,101325.00000000003,524.0,0.0,[0.],[1.58475485]
125,347850500.0,83680000.0,101325.00000000001,525.0,0.0,[0.],[1.64380588]
126,347850500.0,83680000.0,101325.00000000001,526.0,0.0,[0.],[1.70482009]
127,347850500.0,83680000.0,101325.0,527.0,0.0,[0.],[1.76785448]
128,347850500.0,83680000.0,101325.0,528.0,0.0,[0.],[1.83296742]
129,347850500.0,83680000.0,101325.0,529.0,0.0,[0.],[1.9002187]
130,347850500.0,83680000.0,101324.99999999999,530.0,0.0,[0.],[1.96966959]
131,347850500.0,83680000.0,101325.0,531.0,0.0,[0.],[2.0413828]
132,347850500.0,83680000.0,101325.00000000001,532.0,0.0,[0.],[2.11542258]
133,347850500.0,83680000.0,101325.00000000001,533.0,0.0,[0.],[2.1918547]
134,347850500.0,83680000.0,101325.00000000001,534.0,0.0,[0.],[2.2707465]
135,347850500.0,83680000.0,101325.00000000001,535.0,0.0,[0.],[2.35216692]
136,347850500.0,83680000.0,101325.0,536.0,0.0,[0.],[2.43618651]
137,347850500.0,83680000.0,101324.99999999999,537.0,0.0,[0.],[2.52287749]
138,347850500.0,83680000.0,101324.99999999999,538.0,0.0,[0.],[2.61231376]
139,347850500.0,83680000.0,101325.0,539.0,0.0,[0.],[2.70457093]
